new,origin
"Veterinární a farmaceutická univerzita Brno","Veterinární univerzita Brno"
"Centrum kardiovaskulární a transplantační chirurgie","Centrum kardiovaskulární a transplantační chirurgie Brno"
"Újv Řež, a. s.","Centrum výzkumu Řež s.r.o."
"CESNET - zájmové sdružení právnických osob","CESNET zájmové sdružení právnických osob"
"Západočeské muzeum v Plzni, příspěvková organizace","Západočeské muzeum v Plzni p. o."
"Vojenský výzkumný ústav, s.p.","Vojenský výzkumný ústav s. p."
"Orientální ústav AV Čr, v. v. i.","Orientální ústav Akademie věd České republiky v.v.i."
"Výzkumný ústav stavebních hmot,a.s.","Výzkumný ústav stavebních hmot a.s."
"Vysoká škola obchodní v Praze, o.p.s.","Vysoká škola obchodní v Praze nadační fond"
"Národní technické museum","Národní technické muzeum"
"Technologické centrum Akademie věd České republiky","Technologické centrum Praha"
"CEVRO Institut o.p.s.","CEVRO Institut z.ú."
"Národní zemědělské muzeum Praha","Národní zemědělské muzeum s. p. o."
"AGRITEC, výzkum, šlechtění a služby, s.r.o.","Agritec Plant Research s.r.o."
"Vysoká škola evropských a regionálních studií, z.ú.","Vysoká škola evropských a regionálních studií z. ú."
"Vysoká škola umělecko-průmýsová v Praze","Vysoká škola uměleckoprůměslová v Praze"
"OSEVA PRO s.r.o., odštěpný závod Výzkumný ústav olejnin Opava","OSEVA vývoj a výzkum s.r.o."
"Botanický ústav AV Čr, v.v.i.","Botanický ústav AV Čr, Praha, v.v.i."
"Muzeum regionu Valašsko, p.o.","Muzeum regionu Valašsko příspěvková organizace"
"Uměleckoprůměslové museum v Praze","Uměleckoprůměslové museum v Praze státní příspěvková organizace"
"Ústav hematologie a krevní transfúze","Fakultní Thomayerova nemocnice"
"Státní zdravotní ústav, Praha","Státní zdravotní ústav%"
